Phase,Phi1,Phi,Phi2
1,84.61096959,123.5720967,12.43776765
1,75.7020465,127.1765787,43.73444233
1,75.56912418,127.1118285,44.04326592
1,75.94670387,126.747998,44.11947034
1,76.28417669,127.1995008,44.16530432
1,75.88940542,126.8419678,43.54479188
1,76.16442298,127.3948716,44.09024738
1,75.41671534,126.7508667,42.6039948
1,76.07332192,126.7067573,43.57286738
1,75.8470036,127.0201537,42.97412616
1,75.83898496,125.8221112,42.73119341
1,76.38100145,127.4040377,43.97336576
1,76.03207441,127.2762722,43.7940289
1,92.78191806,87.94272221,18.36157876
1,92.78191806,87.94272221,18.36157876
1,92.19807349,88.25441106,18.75978391
1,104.6455878,69.45107786,1.278841825
1,104.4421848,69.56911036,0.949964054
1,104.7447075,70.00799099,0.86917695
1,104.553913,69.44821601,0.602751601
1,104.7876762,69.52155175,0.593011324
1,104.5315646,69.49462714,0.493889645
1,105.0804591,70.01314779,0.586708767
1,104.8965426,70.10539632,0.750001728
1,104.4238526,69.91918487,0.611918942
1,104.5733927,70.0165902,0.3242941
1,104.8243475,69.97762397,0.617075522
1,105.0741549,69.86991189,0.148969027
1,104.7097574,69.58056458,0.368411866
1,104.8919596,70.06128013,0.161574101
1,103.8852717,70.07101998,0.359817487
1,85.39076546,159.7784513,38.81559964
1,85.97976682,160.055757,39.09233841
1,86.03190165,159.9216941,39.41949764
1,85.72766454,159.2221051,39.24073452
1,114.1899166,151.5312984,58.19016546
1,114.6070226,151.5123925,58.28298773
1,114.3973289,151.637863,58.34658363
1,114.5692106,151.8825204,58.59983338
1,114.5296775,151.7260954,58.26980547
1,114.0323509,151.4470685,57.35536608
1,90.27981486,46.49266055,7.963540388
1,90.59666051,46.60037605,7.149940207
1,90.18986127,46.55969544,7.937184396
1,90.20246297,46.47489864,8.030576134
1,90.67056999,46.71783139,7.416938278
1,90.17667901,46.64907871,7.765296709
1,90.10620512,46.53735048,7.681644821
1,90.21449777,46.49781734,7.66732106
1,90.4975408,46.61068963,7.559605562
1,90.50728065,46.56714376,7.331567744
1,87.0368752,143.9115257,5.781144257
1,86.87185783,143.6491099,6.001160018
1,86.77273812,143.4480018,5.753642074
1,86.14134177,143.3935788,5.277514283
1,87.29527491,143.8863223,6.170182441
1,86.82373231,143.9000647,6.001732901
1,85.90184119,143.9172631,5.063228196
1,86.66330483,143.8989172,5.508416084
1,86.86326545,144.2776512,5.555971703
1,87.27636895,143.6021318,6.101427622
1,86.99734206,144.0112192,6.034964332
1,87.31418771,143.8490705,6.144972213
1,87.25516804,143.8794375,6.299670875
1,87.10047109,143.5631724,5.962771794
1,87.19615521,143.5333791,6.080227996
